datetime,outdoor_temperature_deg_celsius,relative_humidity_per_cent,wind_speed_m_per_s,diffuse_horizontal_radiation_Wh_per_m2,direct_normal_radiation_Wh_per_m2,ZONE+00_+00_+00:Zone Operative Temperature [C](Hourly),heating_J,cooling_J,heating_kWh,cooling_kWh,internal_gains_kWh,infiltration_energy_kWh,ventilation_energy_kWh,inside_conduction_energy_kWh,windows_energy_constant_temperature_kWh
2020-07-18 17:00:00,21.08,67.0,3.79,100.2,126.69,24.22328072692911,0.0,0.0,0.0,0.0,0.0,-0.6155051875011088,0.0,-1.3556104950306207,1.9711156825317295
2020-07-18 18:00:00,20.88,64.0,3.66,25.0,11.33,24.225146227912337,0.0,0.0,0.0,0.0,0.0,-0.7329871172451552,0.0,2.502175801702487,-1.7691886844573317
2020-07-18 19:00:00,19.63,68.0,3.31,5.4,0.0,24.276197902358795,0.0,0.0,0.0,0.0,0.0,-0.9354811955022834,0.0,2.7913966545754056,-1.8559154590731222
2020-07-18 20:00:00,18.96,70.0,2.9,0.0,0.0,24.300200642488814,0.0,0.0,0.0,0.0,0.0,-1.0616434528400966,0.0,2.4660736912455796,-1.404430238405483
2020-07-18 21:00:00,18.38,70.0,2.9,0.0,0.0,24.27566228940573,0.0,0.0,0.0,0.0,0.0,-1.2647585275821513,0.0,2.2575502357626767,-0.9927917081805253
2020-07-18 22:00:00,17.85,71.0,2.9,0.0,0.0,24.218647256912845,0.0,0.0,0.0,0.0,0.0,-1.3573800990940055,0.0,2.2853278727946056,-0.9279477737006001
2020-07-18 23:00:00,17.28,77.0,2.9,0.0,0.0,24.148142055408652,0.0,0.0,0.0,0.0,0.0,-1.2170520050142783,0.0,2.4483440931262934,-1.231292088112015
2020-07-19 00:00:00,16.46,77.0,2.83,0.0,0.0,24.068011153899505,0.0,0.0,0.0,0.0,0.0,-1.550213751101912,0.0,2.672518932462064,-1.1223051813601521
2020-07-19 01:00:00,15.74,78.0,2.83,0.0,0.0,23.98301196094005,0.0,0.0,0.0,0.0,0.0,-1.736634861715023,0.0,2.907441990880345,-1.170807129165322
2020-07-19 02:00:00,15.35,78.0,2.69,0.0,0.0,23.90236525015564,0.0,0.0,0.0,0.0,0.0,-1.8001336822153178,0.0,3.1215719131818016,-1.3214382309664838
2020-07-19 03:00:00,14.98,79.0,2.48,0.0,0.0,23.826749922931207,0.0,0.0,0.0,0.0,0.0,-1.8066808921151347,0.0,3.3014773072704457,-1.494796415155311
2020-07-19 04:00:00,14.67,81.0,2.41,0.0,0.0,23.75481327185087,0.0,0.0,0.0,0.0,0.0,-1.7679913979305164,0.0,3.4355300289353816,-1.6675386310048652
2020-07-19 05:00:00,14.72,82.0,2.28,59.3,315.59,23.795853211165493,0.0,0.0,0.0,0.0,0.0,-1.6648005766781848,0.0,-2.8309696864257567,4.495770263103942
2020-07-19 06:00:00,15.61,82.0,2.48,93.4,437.89,23.868641763884447,0.0,0.0,0.0,0.0,0.0,-1.3021679599257787,0.0,-5.140393109768464,6.442561069694243
2020-07-19 07:00:00,17.35,77.0,2.83,162.15,391.48,23.957711612529422,0.0,0.0,0.0,0.0,0.0,-0.8802615308017478,0.0,-5.142798556505196,6.023060087306943
2020-07-19 08:00:00,18.76,66.0,2.76,203.85,478.15,23.98227046058684,0.0,0.0,0.0,0.0,0.0,-0.9421618671392705,0.0,-6.088654958404779,7.030816825544049
2020-07-19 09:00:00,20.43,57.0,2.9,310.85,307.77,23.937509806183783,0.0,0.0,0.0,0.0,0.0,-0.6788572379585937,0.0,-4.745176293510594,5.424033531469188
2020-07-19 10:00:00,21.52,56.0,3.17,332.0,399.14,23.958475013482907,0.0,0.0,0.0,0.0,0.0,-0.2732508689699688,0.0,-3.8135355190312237,4.086786388001192
2020-07-19 11:00:00,22.57,50.0,3.45,304.65,472.85,24.076541763832243,0.0,0.0,0.0,0.0,0.0,-0.27288389870643415,0.0,-3.5343589478466657,3.8072428465531
2020-07-19 12:00:00,23.29,45.0,3.79,324.55,370.08,24.223069190717485,0.0,0.0,0.0,0.0,0.0,-0.30979823023064623,0.0,-5.198160744540074,5.50795897477072
2020-07-19 13:00:00,24.07,43.0,4.28,254.0,140.32,24.38829089525711,0.0,0.0,0.0,0.0,0.0,-0.095849693606328,0.0,-4.314706605294709,4.410556298901037
2020-07-19 14:00:00,24.17,40.0,3.79,222.0,143.2,24.546469357546705,0.0,0.0,0.0,0.0,0.0,-0.180069067043039,0.0,-4.658136583250087,4.838205650293126
2020-07-19 15:00:00,24.51,39.0,3.72,203.6,25.7,24.65692238958198,0.0,0.0,0.0,0.0,0.0,-0.034415258128448575,0.0,-3.411803880883538,3.4462191390119865
2020-07-19 16:00:00,24.54,40.0,3.45,114.05,7.74,24.711326179941864,0.0,0.0,0.0,0.0,0.0,0.04725314842790033,0.0,-1.676572062526831,1.6293189140989306
2020-07-19 17:00:00,23.98,41.0,2.55,94.35,50.38,24.72376851422688,0.0,0.0,0.0,0.0,0.0,-0.11402310194753809,0.0,-2.4351539036422656,2.5491770055898035
2020-07-19 18:00:00,23.65,43.0,2.34,34.35,4.19,24.68061458334812,0.0,0.0,0.0,0.0,0.0,-0.10826361471812677,0.0,-0.11308695698478699,0.22135057170291378
2020-07-19 19:00:00,23.13,47.0,1.79,5.85,0.0,24.654499195156248,0.0,0.0,0.0,0.0,0.0,-0.05330995999102962,0.0,0.6013054088264211,-0.5479954488353915
2020-07-19 20:00:00,22.28,53.0,1.86,0.0,0.0,24.6249639796646,0.0,0.0,0.0,0.0,0.0,-0.05284137800988638,0.0,0.8403070693644741,-0.7874656913545877
2020-07-19 21:00:00,21.36,57.0,1.93,0.0,0.0,24.57666400693749,0.0,0.0,0.0,0.0,0.0,-0.28357077827661775,0.0,0.997117152538818,-0.7135463742622004
2020-07-19 22:00:00,20.76,59.0,1.93,0.0,0.0,24.516345179967324,0.0,0.0,0.0,0.0,0.0,-0.49797146032880996,0.0,1.1752699893622578,-0.6772985290334479
2020-07-19 23:00:00,20.18,65.0,2.14,0.0,0.0,24.45103005464573,0.0,0.0,0.0,0.0,0.0,-0.43744607997427387,0.0,1.387154032661278,-0.949707952687004
2020-07-20 00:00:00,19.99,73.0,2.21,0.0,0.0,24.41083352118041,0.0,0.0,0.0,0.0,0.0,-0.13666784192504647,0.0,1.574979603770025,-1.4383117618449786
2020-07-20 01:00:00,20.0,74.0,2.34,0.0,0.0,24.38892115448612,0.0,0.0,0.0,0.0,0.0,-0.25505706230218345,0.0,1.6305387456806346,-1.3754816833784511
